t,i,b₀ᵢ,αₜ,μᵢₜ,vᵢₜ,vₜ,eᵢₜ
1,1,3.146,1.207012615872419,1.3507962746264663,6.549091753922604,5.590133019736555,9.960091753922605
1,2,-0.454,1.207012615872419,-2.2856069212708405,2.9126885580252972,5.590133019736555,2.723688558025297
1,3,3.78,1.207012615872419,0.653062636609108,5.851358115905246,5.590133019736555,9.896358115905246
1,4,3.479,1.207012615872419,1.8490981717969341,7.047393651093072,5.590133019736555,10.791393651093072
2,1,3.146,0.01890951581754554,0.004244939417266445,4.934086313073376,5.480599263048717,8.610086313073376
2,2,-0.454,0.01890951581754554,1.4715265113529865,6.401367885009096,5.480599263048717,6.477367885009095
2,3,3.78,0.01890951581754554,0.17532578298538284,5.1051671566414925,5.480599263048717,9.415167156641491
2,4,3.479,0.01890951581754554,0.5519343238147925,5.481775697470901,5.480599263048717,9.490775697470902
3,1,3.146,-2.8727278442651483,-0.4297544066291778,1.5122242016939715,0.14580728179677604,5.453224201693971
3,2,-0.454,-2.8727278442651483,-4.9497427509066165,-3.007764142583467,0.14580728179677604,-2.666764142583467
3,3,3.78,-2.8727278442651483,-2.9973244431077233,-1.0553458347845739,0.14580728179677604,3.5196541652154263
3,4,3.479,-2.8727278442651483,1.1921362945380245,3.1341149028611737,0.14580728179677604,7.408114902861174
4,1,3.146,1.5352055996849376,-0.8466012160777767,0.8166960806656287,0.28670360039024234,5.022696080665629
4,2,-0.454,1.5352055996849376,-2.1226691264080637,-0.4593718296646583,0.28670360039024234,0.1466281703353418
4,3,3.78,1.5352055996849376,-2.4061218807829756,-0.7428245840395702,0.28670360039024234,4.09717541596043
4,4,3.479,1.5352055996849376,-0.13098256214383625,1.5323147345995691,0.28670360039024234,6.071314734599569
5,1,3.146,-2.947529337270334,1.0822610482757762,-1.6133991760517299,-2.5887104907070437,2.85760082394827
5,2,-0.454,-2.947529337270334,0.17509914517549677,-2.520561079152009,-2.5887104907070437,-1.649561079152009
5,3,3.78,-2.947529337270334,-2.370309207262512,-5.065969431590018,-2.5887104907070437,0.039030568409982536
5,4,3.479,-2.947529337270334,1.5407479482930884,-1.1549122760344177,-2.5887104907070437,3.6490877239655823
6,1,3.146,-2.0073728451772146,0.6214236079166321,-3.66013140334672,-4.148325355482163,1.07586859665328
