t,i,b₀ᵢ,αₜ,μᵢₜ,vᵢₜ,vₜ,eᵢₜ
1,1,378017.714,-35972.89068234817,30209.700827167057,-5763.18985518111,-3741.4495224917955,398765.9241448189
1,2,-45391.353,-35972.89068234817,79437.40529519855,43464.514612850384,-3741.4495224917955,24584.561612850383
1,3,347855.764,-35972.89068234817,86026.70520468429,50053.81452233612,-3741.4495224917955,424420.97852233617
1,4,314643.98,-35972.89068234817,-66748.0466876244,-102720.93736997257,-3741.4495224917955,238434.44263002742
2,1,378017.714,108720.84924285859,116842.5352740703,222276.52111141983,162094.2933632873,653303.8351114198
2,2,-45391.353,108720.84924285859,-420.6469198755919,105013.33891747396,162094.2933632873,112631.58591747396
2,3,347855.764,108720.84924285859,29634.07990232103,135068.0657396706,162094.2933632873,535933.4297396706
2,4,314643.98,108720.84924285859,80585.26184723526,186019.2476845848,162094.2933632873,553672.8276845848
3,1,378017.714,-41958.96169388487,-9514.876607776403,90925.9984179866,144365.60854307673,548438.3124179866
3,2,-45391.353,-41958.96169388487,73320.50543691819,173761.38046268118,144365.60854307673,207864.62746268118
3,3,347855.764,-41958.96169388487,100084.54162742852,200525.41665319153,144365.60854307673,627875.7806531915
3,4,314643.98,-41958.96169388487,11808.763612684554,112249.63863844756,144365.60854307673,506388.2186384475
4,1,378017.714,71890.99374659393,-66920.81956254177,131795.36128914508,93840.55440980449,615779.475289145
4,2,-45391.353,71890.99374659393,-187161.15327144618,11555.027580240654,93840.55440980449,72130.07458024065
4,3,347855.764,71890.99374659393,-93689.08871751017,105027.09213417667,93840.55440980449,558849.2561341767
4,4,314643.98,71890.99374659393,-71731.44421603128,126984.73663565556,93840.55440980449,547595.1166356555
5,1,378017.714,42024.71777937789,188108.82203584528,312572.4668642364,115389.88226358996,823015.1808642363
5,2,-45391.353,42024.71777937789,2545.78512280903,127009.42995120017,115389.88226358996,214043.07695120017
5,3,347855.764,42024.71777937789,-69689.14346893788,54774.501359453265,115389.88226358996,535055.2653594533
5,4,314643.98,42024.71777937789,-157260.5139489211,-32796.86912052997,115389.88226358996,414272.11087947
6,1,378017.714,-68567.0902276119,200592.28924383828,233395.21058479015,143643.47661841483,770283.32458479
6,2,-45391.353,-68567.0902276119,165385.61020114503,198188.5315420969,143643.47661841483,311667.5785420969
6,3,347855.764,-68567.0902276119,41611.435126998884,74414.35646795075,143643.47661841483,581140.5204679508
6,4,314643.98,-68567.0902276119,35772.886537869665,68575.80787882154,143643.47661841483,542090.1878788215
7,1,378017.714,205476.30560640365,-56610.886724459386,275056.21309122164,390278.4506647755,838376.5270912215
7,2,-45391.353,205476.30560640365,77765.77745867198,409432.87727435306,390278.4506647755,549344.124274353
7,3,347855.764,205476.30560640365,296202.0376658801,627869.1374815612,390278.4506647755,1.161027501481561e6
7,4,314643.98,205476.30560640365,-82911.52500371494,248755.5748119661,390278.4506647755,748702.154811966
8,1,378017.714,32489.272944691573,-63656.87810422292,311692.0137494739,318417.7454467216,901431.3277494737
8,2,-45391.353,32489.272944691573,-81967.96137020412,293380.93048349273,318417.7454467216,459711.17748349276
8,3,347855.764,32489.272944691573,48076.349099979016,423425.2409536759,318417.7454467216,983002.6049536758
8,4,314643.98,32489.272944691573,-130176.0952534529,245172.79660024395,318417.7454467216,771538.3766002438
9,1,378017.714,-30490.125519643225,19739.96171318971,268979.8255684914,261087.33549089252,885124.9395684914
9,2,-45391.353,-30490.125519643225,-57862.03570614755,191377.82814915417,261087.33549089252,384113.87514915416
9,3,347855.764,-30490.125519643225,123776.6451553191,373016.5090106208,261087.33549089252,958999.6730106208
9,4,314643.98,-30490.125519643225,-38264.68461999802,210975.17923530372,261087.33549089252,763746.5592353037
10,1,378017.714,46169.497427896844,-137196.3110547583,138338.41060188765,283282.86470617645,780876.1246018875
10,2,-45391.353,46169.497427896844,92642.44652230678,368177.1681789527,283282.86470617645,587305.8151789526
10,3,347855.764,46169.497427896844,-4391.304021703873,271143.41763494204,283282.86470617645,883519.1816349421
10,4,314643.98,46169.497427896844,79937.74075227737,355472.4624089233,283282.86470617645,934636.4424089233
11,1,378017.714,-84495.77163759788,-45010.12694362115,119358.09806315697,211181.4516335216,788275.2120631569
11,2,-45391.353,-84495.77163759788,120744.57707861184,285112.80208538997,211181.4516335216,530620.84908539
11,3,347855.764,-84495.77163759788,72438.91916562045,236807.14417239855,211181.4516335216,875562.3081723985
11,4,314643.98,-84495.77163759788,39079.53720636283,203447.76221314096,211181.4516335216,808991.142213141
12,1,378017.714,88671.1729088176,61888.38022449789,336082.45839336416,247715.99933323934,1.031365772393364e6
12,2,-45391.353,88671.1729088176,-102703.91061366748,171490.1675551988,247715.99933323934,443364.41455519875
12,3,347855.764,88671.1729088176,-58282.67753174389,215911.4006371224,247715.99933323934,881032.7646371224
12,4,314643.98,88671.1729088176,-6814.107421594264,267379.970747272,247715.99933323934,899289.550747272
13,1,378017.714,1357.380155160959,-92505.67049017007,126470.21507924164,133068.43619339203,848106.5290792416
13,2,-45391.353,1357.380155160959,-16597.867256580885,202378.01831283083,133068.43619339203,500605.2653128308
13,3,347855.764,1357.380155160959,16397.53650185817,235373.4220712699,133068.43619339203,926847.7860712698
13,4,314643.98,1357.380155160959,-250923.79625918585,-31947.910689774144,133068.43619339203,626314.6693102259
14,1,378017.714,10565.160588373084,-29632.636951709977,97833.14483255798,125484.85144050603,845809.2588325579
14,2,-45391.353,10565.160588373084,15182.206032407736,142647.9878166757,125484.85144050603,467215.0348166757
14,3,347855.764,10565.160588373084,68230.75020059911,195696.53198486706,125484.85144050603,913510.695984867
14,4,314643.98,10565.160588373084,-61704.04065634461,65761.74112792336,125484.85144050603,750364.1211279234
15,1,378017.714,-54114.33905804609,-31147.715719015046,24976.387213423404,96140.41583222045,799279.1012134233
15,2,-45391.353,-54114.33905804609,51213.86253387673,107337.96546631519,96140.41583222045,458231.61246631516
15,3,347855.764,-54114.33905804609,65865.09116697751,121989.19409941597,96140.41583222045,866129.958099416
15,4,314643.98,-54114.33905804609,74134.01361728877,130258.11654972722,96140.41583222045,841187.0965497273
16,1,378017.714,-69024.01060010827,35112.26841619277,50547.61312469016,82137.75914353448,851163.7271246901
16,2,-45391.353,-69024.01060010827,-9655.005076635312,5780.339631862076,82137.75914353448,382987.3866318621
16,3,347855.764,-69024.01060010827,135792.40638655162,151227.75109504903,82137.75914353448,921681.915095049
16,4,314643.98,-69024.01060010827,105559.98801403929,120995.33272253668,82137.75914353448,858237.7127225366
17,1,378017.714,-93641.51410134179,95886.38106995731,74402.88837621055,14218.3548425634,901319.2023762105
17,2,-45391.353,-93641.51410134179,-47871.154316738466,-69354.64701048522,14218.3548425634,334152.59998951474
17,3,347855.764,-93641.51410134179,-51752.156652595746,-73235.6493463425,14218.3548425634,723518.7146536574
17,4,314643.98,-93641.51410134179,146544.32004461752,125060.82735087076,14218.3548425634,888603.4073508708
18,1,378017.714,-61779.639037431356,9800.092159938627,-39488.72214830078,-131204.94546661346,813714.5918516992
18,2,-45391.353,-61779.639037431356,-119879.53035019909,-169168.3446584385,-131204.94546661346,260625.90234156148
18,3,347855.764,-61779.639037431356,-157640.92816929726,-206929.74247753667,-131204.94546661346,616111.6215224633
18,4,314643.98,-61779.639037431356,-59944.158273938476,-109232.97258217788,-131204.94546661346,680596.6074178221
19,1,378017.714,15203.02408349855,11114.885694355506,-88945.63481456587,-76176.61722332601,790531.4791854341
19,2,-45391.353,15203.02408349855,89928.61398968012,-10131.906519241253,-76176.61722332601,445936.14048075874
19,3,347855.764,15203.02408349855,66515.4560057591,-33545.06450316227,-76176.61722332601,815770.0994968377
19,4,314643.98,15203.02408349855,-72023.34254741331,-172083.86305633467,-76176.61722332601,644019.5169436653
20,1,378017.714,-89937.3709968831,-39823.09838566264,-196681.62761323765,-209250.3604384316,709056.0863867623
20,2,-45391.353,-89937.3709968831,-77927.54176729907,-234786.07099487406,-209250.3604384316,247542.57600512594
20,3,347855.764,-89937.3709968831,-185889.56640885342,-342748.09563642845,-209250.3604384316,532827.6683635715
20,4,314643.98,-89937.3709968831,94072.88171838873,-62785.64750918627,-209250.3604384316,779578.3324908137
21,1,378017.714,81448.76188395807,-18986.461906341145,-121364.14166754522,-59183.30504264485,810620.9723324548
21,2,-45391.353,81448.76188395807,-36677.74631352174,-139055.4260747258,-59183.30504264485,369520.6209252742
21,3,347855.764,81448.76188395807,151270.50315116308,48892.823389959,-59183.30504264485,950715.9873899589
21,4,314643.98,81448.76188395807,77171.2039429367,-25206.475818267383,-59183.30504264485,843404.9041817326
22,1,378017.714,29847.95163645175,108787.1348049845,86642.55296147274,44180.36098782342,1.0448618669614727e6
22,2,-45391.353,29847.95163645175,31030.63905131243,8886.05720780068,44180.36098782342,543696.3042078007
22,3,347855.764,29847.95163645175,50798.59682752319,28654.014984011443,44180.36098782342,956711.3789840114
22,4,314643.98,29847.95163645175,74683.40064152057,52538.81879800881,44180.36098782342,947384.3987980088
23,1,378017.714,-197307.7837133343,-121343.13875413241,-279838.4753396638,-192852.71606162647,704601.8386603361
23,2,-45391.353,-197307.7837133343,138050.68571500218,-20444.650870529236,-192852.71606162647,540586.5961294707
23,3,347855.764,-197307.7837133343,-215838.78910645438,-374334.1256919858,-192852.71606162647,579944.2383080141
23,4,314643.98,-197307.7837133343,61701.72424120437,-96793.61234432705,-192852.71606162647,824272.9676556729
24,1,378017.714,32174.01099046626,-162201.32171854554,-299448.42178821814,-230650.33353522513,711199.6922117819
24,2,-45391.353,32174.01099046626,-90251.23502968809,-227498.33509936067,-230650.33353522513,359740.71190063935
24,3,347855.764,32174.01099046626,-86746.24211552748,-223993.34218520008,-230650.33353522513,756492.8218147999
24,4,314643.98,32174.01099046626,-34414.134998449,-171661.2350681216,-230650.33353522513,775613.1449318784
25,1,378017.714,27038.613194550206,-62232.60615216857,-237820.31096831363,-213131.59318793996,799022.4030316863
25,2,-45391.353,27038.613194550206,113190.59471331842,-62397.11010282664,-213131.59318793996,551036.5368971734
25,3,347855.764,27038.613194550206,-123236.2981567815,-298824.0029729266,-213131.59318793996,707856.7610270734
25,4,314643.98,27038.613194550206,-77897.24389154797,-253484.94870769302,-213131.59318793996,719984.031292307
26,1,378017.714,157931.73070274334,85203.13527819759,55898.7613653357,70500.79508031304,1.1189228753653355e6
26,2,-45391.353,157931.73070274334,244830.19085614447,215525.81694328258,70500.79508031304,855140.8639432826
26,3,347855.764,157931.73070274334,16266.036508593059,-13038.337404268832,70500.79508031304,1.0198238265957312e6
26,4,314643.98,157931.73070274334,52921.31332976458,23616.939416902693,70500.79508031304,1.0232673194169027e6
27,1,378017.714,-61822.81630671025,40036.83361218216,40148.96578352691,52333.64331704014,1.129341279783527e6
27,2,-45391.353,-61822.81630671025,-11611.613648742925,-11499.481477398178,52333.64331704014,654283.7655226018
27,3,347855.764,-61822.81630671025,187784.85770454246,187896.9898758872,52333.64331704014,1.2469273538758873e6
27,4,314643.98,-61822.81630671025,-7324.033085200088,-7211.900913855341,52333.64331704014,1.0186066790861447e6
28,1,378017.714,-146898.29879526488,14067.727009498574,-86855.46613174655,-135557.33254270104,1.0284918478682535e6
28,2,-45391.353,-146898.29879526488,-137519.01514032893,-238442.20828157407,-135557.33254270104,453496.0387184259
28,3,347855.764,-146898.29879526488,-103767.92989424356,-204691.12303548868,-135557.33254270104,880494.2409645114
28,4,314643.98,-146898.29879526488,88682.66041925024,-12240.532721994881,-135557.33254270104,1.0397330472780052e6
29,1,378017.714,-72955.23526757714,-48965.07333408712,-241007.4252404271,-244586.95923014276,900481.6887595727
29,2,-45391.353,-72955.23526757714,-19220.71804753436,-211263.06995387434,-244586.95923014276,506816.9770461257
29,3,347855.764,-72955.23526757714,-10715.365467705575,-202757.71737404558,-244586.95923014276,908569.4466259542
29,4,314643.98,-72955.23526757714,-131277.27244588398,-323319.62435222394,-244586.95923014276,754795.755647776
30,1,378017.714,-63627.644485280165,-146386.08167038474,-424883.3698393453,-326780.474571394,742734.3441606546
30,2,-45391.353,-63627.644485280165,125433.41275152117,-153063.87541743938,-326780.474571394,591144.7715825606
30,3,347855.764,-63627.644485280165,-64528.65980410762,-343025.94797306816,-326780.474571394,794429.8160269319
30,4,314643.98,-63627.644485280165,-107651.41688676263,-386148.7050557232,-326780.474571394,718095.2749442768
31,1,378017.714,-20563.037602802728,-17561.36153239578,-325201.0460461681,-417616.53628038085,868532.0679538317
31,2,-45391.353,-20563.037602802728,-126323.86633806178,-433963.5508518341,-417616.53628038085,336360.4961481659
31,3,347855.764,-20563.037602802728,-139265.47365279763,-446905.15816656995,-417616.53628038085,716666.00583343
31,4,314643.98,-20563.037602802728,-156756.70554317892,-464396.3900569512,-417616.53628038085,665962.9899430487
32,1,378017.714,77070.31750912096,91033.89503690109,-198771.91457629247,-239352.51402783254,1.0210633994237075e6
32,2,-45391.353,77070.31750912096,138751.15262372367,-151054.6569894699,-239352.51402783254,645371.5900105301
32,3,347855.764,77070.31750912096,-78127.64621455337,-367933.45582774695,-239352.51402783254,821739.908172253
32,4,314643.98,77070.31750912096,50155.780895372736,-239650.02871782082,-239352.51402783254,916811.5512821793
33,1,378017.714,-121394.01711703543,210204.77425521667,-121460.42643526962,-302457.41899622604,1.1244638875647304e6
33,2,-45391.353,-121394.01711703543,-76972.79065010164,-408637.99134058796,-302457.41899622604,413877.255659412
33,3,347855.764,-121394.01711703543,71047.08798772615,-260618.11270276015,-302457.41899622604,955144.2512972399
